pair,name,operations,sample,wall_ns,allocated_words
1,eta_signal.public_sync.successful.depth_1.position_none,524288,4,1591.778073,2059.000086
1,eta_signal.public_sync.successful.depth_1.position_none,524288,5,1592.946774,2059.000086
1,eta_signal.public_sync.successful.depth_1.position_none,524288,6,1593.562956,2059.000086
1,eta_signal.public_sync.successful.depth_1.position_none,524288,7,1592.847639,2059.000086
1,eta_signal.public_sync.successful.depth_1.position_none,524288,8,1593.114575,2059.000086
1,eta_signal.public_sync.successful.depth_1.position_none,524288,9,1598.138624,2059.000086
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,1,2531.456630,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,2,2533.557563,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,3,2540.241439,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,4,2537.002729,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,5,2536.720785,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,6,2543.456503,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,7,2542.305083,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,8,2512.610990,3055.000172
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,9,2508.422767,3055.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,1,2463.805686,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,2,2469.269020,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,3,2470.585059,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,4,2466.602382,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,5,2464.267709,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,6,2468.052116,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,7,2465.988473,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,8,2465.881153,2671.000172
1,eta_signal.public_sync.successful.depth_10.position_none,262144,9,2464.401405,2671.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,1,4042.525688,4027.000343
