side,name,pair,operations,sample,wall_ns,allocated_words
reference,timer_cycle,2,32768,7,27333.371690,21185.000305
reference,timer_cycle,2,32768,8,27555.237466,21185.000305
reference,timer_cycle,2,32768,9,27577.698347,21185.000305
candidate,observer_failure_retry,3,262144,1,3775.608093,2752.000038
candidate,observer_failure_retry,3,262144,2,3770.450348,2752.000038
candidate,observer_failure_retry,3,262144,3,3762.675988,2752.000038
candidate,observer_failure_retry,3,262144,4,3790.481969,2752.000038
candidate,observer_failure_retry,3,262144,5,3774.337529,2752.000038
candidate,observer_failure_retry,3,262144,6,3763.649147,2752.000038
candidate,observer_failure_retry,3,262144,7,3760.707841,2752.000038
candidate,observer_failure_retry,3,262144,8,3757.823833,2752.000038
candidate,observer_failure_retry,3,262144,9,3756.500519,2752.000038
reference,observer_failure_retry,3,65536,1,16657.304514,10504.000153
reference,observer_failure_retry,3,65536,2,23213.102395,10504.000153
reference,observer_failure_retry,3,65536,3,34287.444578,10504.000153
reference,observer_failure_retry,3,65536,4,13238.266547,10504.000153
reference,observer_failure_retry,3,65536,5,12157.241144,10504.000153
reference,observer_failure_retry,3,65536,6,12227.967090,10504.000153
reference,observer_failure_retry,3,65536,7,12230.058928,10504.000153
reference,observer_failure_retry,3,65536,8,12230.451830,10504.000153
reference,observer_failure_retry,3,65536,9,12197.797332,10504.000153
candidate,observer_disposal,3,524288,1,1285.421149,903.000019
candidate,observer_disposal,3,524288,2,1293.024070,903.000019
candidate,observer_disposal,3,524288,3,1288.005478,903.000019
candidate,observer_disposal,3,524288,4,1289.909051,903.000019
candidate,observer_disposal,3,524288,5,1283.048277,903.000019
candidate,observer_disposal,3,524288,6,1295.885340,903.000019
candidate,observer_disposal,3,524288,7,1296.932169,903.000019
candidate,observer_disposal,3,524288,8,1298.380084,903.000019
candidate,observer_disposal,3,524288,9,1298.589723,903.000019
reference,observer_disposal,3,65536,1,8130.311471,6188.000153
reference,observer_disposal,3,65536,2,8228.042134,6188.000153
reference,observer_disposal,3,65536,3,8208.466170,6188.000153
reference,observer_disposal,3,65536,4,8320.970664,6188.000153
reference,observer_disposal,3,65536,5,8330.185665,6188.000153
reference,observer_disposal,3,65536,6,8199.203876,6188.000153
reference,observer_disposal,3,65536,7,8247.785445,6188.000153
reference,observer_disposal,3,65536,8,8293.212886,6188.000153
reference,observer_disposal,3,65536,9,8271.406841,6188.000153
candidate,timer_cycle,3,65536,1,10031.722923,7005.000153
candidate,timer_cycle,3,65536,2,10068.284610,7005.000153
candidate,timer_cycle,3,65536,3,10059.375199,7005.000153
candidate,timer_cycle,3,65536,4,10077.270417,7005.000153
candidate,timer_cycle,3,65536,5,10062.958609,7005.000153
candidate,timer_cycle,3,65536,6,10054.445738,7005.000153
candidate,timer_cycle,3,65536,7,10077.375919,7005.000153
candidate,timer_cycle,3,65536,8,10034.375009,7005.000153
candidate,timer_cycle,3,65536,9,10006.791854,7005.000153
reference,timer_cycle,3,32768,1,27511.290682,21185.000305
reference,timer_cycle,3,32768,2,27607.391530,21185.000305
reference,timer_cycle,3,32768,3,27628.200769,21185.000305
reference,timer_cycle,3,32768,4,27387.541195,21185.000305
reference,timer_cycle,3,32768,5,27338.224754,21185.000305
reference,timer_cycle,3,32768,6,27507.478080,21185.000305
reference,timer_cycle,3,32768,7,27361.689718,21185.000305
reference,timer_cycle,3,32768,8,27503.723686,21185.000305
reference,timer_cycle,3,32768,9,27679.321647,21185.000305
