pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,public,reference,changed.depth_100,524288,9,1134.508238,6.000019
1,public,finalist,changed.depth_100,32768,1,24315.064366,7124.002563
1,public,finalist,changed.depth_100,32768,2,24357.112125,7124.002563
1,public,finalist,changed.depth_100,32768,3,24327.120627,7124.002563
1,public,finalist,changed.depth_100,32768,4,24226.625101,7124.002563
1,public,finalist,changed.depth_100,32768,5,24257.235054,7124.002563
1,public,finalist,changed.depth_100,32768,6,24280.241632,7124.002563
1,public,finalist,changed.depth_100,32768,7,24306.304113,7124.002563
1,public,finalist,changed.depth_100,32768,8,24212.124117,7124.002563
1,public,finalist,changed.depth_100,32768,9,24146.793294,7124.002563
1,raw,reference,cutoff.depth_10,16777216,1,30.860534,0.000001
1,raw,reference,cutoff.depth_10,16777216,2,30.402589,0.000001
1,raw,reference,cutoff.depth_10,16777216,3,30.439026,0.000001
1,raw,reference,cutoff.depth_10,16777216,4,30.431323,0.000001
1,raw,reference,cutoff.depth_10,16777216,5,30.432403,0.000001
1,raw,reference,cutoff.depth_10,16777216,6,30.407961,0.000001
1,raw,reference,cutoff.depth_10,16777216,7,30.878610,0.000001
1,raw,reference,cutoff.depth_10,16777216,8,30.885218,0.000001
1,raw,reference,cutoff.depth_10,16777216,9,30.876151,0.000001
1,raw,finalist,cutoff.depth_10,16777216,1,40.230034,0.000001
1,raw,finalist,cutoff.depth_10,16777216,2,39.651823,0.000001
1,raw,finalist,cutoff.depth_10,16777216,3,39.590418,0.000001
1,raw,finalist,cutoff.depth_10,16777216,4,39.711423,0.000001
1,raw,finalist,cutoff.depth_10,16777216,5,39.611294,0.000001
1,raw,finalist,cutoff.depth_10,16777216,6,39.611052,0.000001
1,raw,finalist,cutoff.depth_10,16777216,7,39.591555,0.000001
1,raw,finalist,cutoff.depth_10,16777216,8,39.653486,0.000001
1,raw,finalist,cutoff.depth_10,16777216,9,39.808270,0.000001
1,public,reference,cutoff.depth_10,16777216,1,32.711739,0.000001
1,public,reference,cutoff.depth_10,16777216,2,32.720436,0.000001
1,public,reference,cutoff.depth_10,16777216,3,31.344413,0.000001
1,public,reference,cutoff.depth_10,16777216,4,30.467334,0.000001
1,public,reference,cutoff.depth_10,16777216,5,30.483179,0.000001
1,public,reference,cutoff.depth_10,16777216,6,30.456903,0.000001
1,public,reference,cutoff.depth_10,16777216,7,30.817162,0.000001
1,public,reference,cutoff.depth_10,16777216,8,30.863163,0.000001
1,public,reference,cutoff.depth_10,16777216,9,30.857265,0.000001
1,public,finalist,cutoff.depth_10,131072,1,4116.240234,2351.000641
1,public,finalist,cutoff.depth_10,131072,2,4120.871381,2351.000641
1,public,finalist,cutoff.depth_10,131072,3,4133.407856,2351.000641
1,public,finalist,cutoff.depth_10,131072,4,4132.751201,2351.000641
1,public,finalist,cutoff.depth_10,131072,5,4131.919923,2351.000641
1,public,finalist,cutoff.depth_10,131072,6,4148.292646,2351.000641
1,public,finalist,cutoff.depth_10,131072,7,4183.013516,2351.000641
1,public,finalist,cutoff.depth_10,131072,8,4150.695531,2351.000641
1,public,finalist,cutoff.depth_10,131072,9,4146.759238,2351.000641
1,raw,reference,dynamic.switch,4194304,1,138.039582,49.000002
1,raw,reference,dynamic.switch,4194304,2,144.713624,49.000002
1,raw,reference,dynamic.switch,4194304,3,143.793102,49.000002
1,raw,reference,dynamic.switch,4194304,4,147.809033,49.000002
1,raw,reference,dynamic.switch,4194304,5,142.057388,49.000002
1,raw,reference,dynamic.switch,4194304,6,141.448993,49.000002
1,raw,reference,dynamic.switch,4194304,7,142.061481,49.000002
1,raw,reference,dynamic.switch,4194304,8,137.478310,49.000002
1,raw,reference,dynamic.switch,4194304,9,144.508817,49.000002
1,raw,finalist,dynamic.switch,4194304,1,130.183935,47.000002
1,raw,finalist,dynamic.switch,4194304,2,129.886871,47.000002
1,raw,finalist,dynamic.switch,4194304,3,129.634657,47.000002
1,raw,finalist,dynamic.switch,4194304,4,129.602427,47.000002
1,raw,finalist,dynamic.switch,4194304,5,129.460773,47.000002
1,raw,finalist,dynamic.switch,4194304,6,128.527915,47.000002
1,raw,finalist,dynamic.switch,4194304,7,128.355964,47.000002
1,raw,finalist,dynamic.switch,4194304,8,128.256772,47.000002
1,raw,finalist,dynamic.switch,4194304,9,128.971294,47.000002
1,public,reference,dynamic.switch,4194304,1,154.012696,49.000002
1,public,reference,dynamic.switch,4194304,2,153.899691,49.000002
1,public,reference,dynamic.switch,4194304,3,150.042069,49.000002
1,public,reference,dynamic.switch,4194304,4,152.942675,49.000002
1,public,reference,dynamic.switch,4194304,5,151.644656,49.000002
1,public,reference,dynamic.switch,4194304,6,151.850941,49.000002
1,public,reference,dynamic.switch,4194304,7,150.803828,49.000002
1,public,reference,dynamic.switch,4194304,8,146.852244,49.000002
1,public,reference,dynamic.switch,4194304,9,148.717902,49.000002
1,public,finalist,dynamic.switch,16384,1,111953.428132,4073.007507
1,public,finalist,dynamic.switch,16384,2,143794.793985,4081.005188
1,public,finalist,dynamic.switch,16384,3,150736.275828,4073.005127
1,public,finalist,dynamic.switch,16384,4,203604.300623,4073.005127
