pair,boundary,side,workload,operations,median_wall_ns,median_allocated_words
3,public,finalist,changed.depth_1,131072,5762.238288,3833.000641
3,public,finalist,changed.depth_10,131072,6886.03177,4058.000641
3,public,finalist,changed.depth_100,32768,24269.102141,7124.002563
3,public,finalist,cutoff.depth_10,131072,4210.867701,2351.000641
3,public,finalist,dynamic.switch,16384,243521.120865,4073.005127
3,public,finalist,map.child_change.10000,1024,696530.099958,3944.082031
3,public,finalist,map.child_change.100000,64,14937419.444323,3969.3125
3,public,finalist,map.data_change.10000,4096,157027.621754,4257.020508
3,public,finalist,map.data_change.100000,256,3237718.716264,4349.328125
3,public,finalist,map.membership_change.10000,4096,160250.463523,4495.020508
3,public,finalist,map.membership_change.100000,256,3206789.493561,4628.328125
3,public,reference,changed.depth_1,16777216,51.495959,6.000001
3,public,reference,changed.depth_10,4194304,117.932075,6.000002
3,public,reference,changed.depth_100,524288,1018.196144,6.000019
3,public,reference,cutoff.depth_10,16777216,30.86555,1e-06
3,public,reference,dynamic.switch,4194304,142.589101,49.000002
3,public,reference,map.child_change.10000,8388608,113.82329,84.000001
3,public,reference,map.child_change.100000,4194304,130.295746,108.000002
3,public,reference,map.data_change.10000,2097152,301.641876,186.000005
3,public,reference,map.data_change.100000,2097152,348.197432,234.000005
3,public,reference,map.membership_change.10000,2097152,484.972475,349.500005
3,public,reference,map.membership_change.100000,1048576,563.071126,439.50001
3,raw,finalist,changed.depth_1,16777216,49.393591,1e-06
3,raw,finalist,changed.depth_10,4194304,160.439299,2e-06
3,raw,finalist,changed.depth_100,524288,1334.495664,1.9e-05
3,raw,finalist,cutoff.depth_10,16777216,48.742223,1e-06
3,raw,finalist,dynamic.switch,4194304,123.183497,47.000002
3,raw,finalist,map.child_change.10000,8388608,112.77757,89.000001
3,raw,finalist,map.child_change.100000,4194304,133.059018,113.000002
3,raw,finalist,map.data_change.10000,4194304,221.540915,214.000002
3,raw,finalist,map.data_change.100000,2097152,248.131187,262.000005
3,raw,finalist,map.membership_change.10000,2097152,287.190005,368.000005
3,raw,finalist,map.membership_change.100000,2097152,323.294216,422.000005
3,raw,reference,changed.depth_1,16777216,51.577558,6.000001
3,raw,reference,changed.depth_10,4194304,136.89305,6.000002
3,raw,reference,changed.depth_100,524288,1130.59059,6.000019
3,raw,reference,cutoff.depth_10,16777216,32.462367,1e-06
3,raw,reference,dynamic.switch,4194304,144.308103,49.000002
3,raw,reference,map.child_change.10000,8388608,114.826207,84.000001
3,raw,reference,map.child_change.100000,4194304,128.499494,108.000002
3,raw,reference,map.data_change.10000,2097152,284.333282,186.000005
3,raw,reference,map.data_change.100000,2097152,348.017693,234.000005
3,raw,reference,map.membership_change.10000,1048576,479.676146,349.50001
3,raw,reference,map.membership_change.100000,1048576,575.154218,439.50001
