pair,side,name,operations,sample,wall_ns,allocated_words
1,candidate,cancelled_contender,131072,8,7600.630852,4132.000076
1,candidate,cancelled_contender,131072,9,7599.608580,4132.000076
1,reference,observer_failure_retry,65536,1,14038.221707,11018.000153
1,reference,observer_failure_retry,65536,2,14090.317563,11018.000153
1,reference,observer_failure_retry,65536,3,14078.203094,11018.000153
1,reference,observer_failure_retry,65536,4,14048.324374,11018.000153
1,reference,observer_failure_retry,65536,5,14080.887922,11018.000153
1,reference,observer_failure_retry,65536,6,14104.327420,11018.000153
1,reference,observer_failure_retry,65536,7,14094.650396,11018.000153
1,reference,observer_failure_retry,65536,8,14081.666450,11018.000153
1,reference,observer_failure_retry,65536,9,14050.612663,11018.000153
1,candidate,observer_failure_retry,65536,1,10295.927495,7178.000153
1,candidate,observer_failure_retry,65536,2,10238.145478,7178.000153
1,candidate,observer_failure_retry,65536,3,10290.175851,7178.000153
1,candidate,observer_failure_retry,65536,4,10274.670785,7178.000153
1,candidate,observer_failure_retry,65536,5,10270.494386,7178.000153
1,candidate,observer_failure_retry,65536,6,10324.049072,7178.000153
1,candidate,observer_failure_retry,65536,7,10302.901501,7178.000153
1,candidate,observer_failure_retry,65536,8,10270.094208,7178.000153
1,candidate,observer_failure_retry,65536,9,10293.348168,7178.000153
1,reference,observer_disposal,65536,1,8776.598406,6169.000153
1,reference,observer_disposal,65536,2,8760.725905,6169.000153
1,reference,observer_disposal,65536,3,8743.500075,6169.000153
1,reference,observer_disposal,65536,4,8848.553989,6169.000153
1,reference,observer_disposal,65536,5,8828.217688,6169.000153
1,reference,observer_disposal,65536,6,8771.621651,6169.000153
1,reference,observer_disposal,65536,7,8897.110092,6169.000153
1,reference,observer_disposal,65536,8,8830.033039,6169.000153
1,reference,observer_disposal,65536,9,8700.288163,6169.000153
1,candidate,observer_disposal,4096,1,698004.616424,147129.002441
1,candidate,observer_disposal,4096,2,906852.539629,188121.004395
1,candidate,observer_disposal,4096,3,1138152.845670,229049.002441
1,candidate,observer_disposal,4096,4,1407118.164934,270009.002441
1,candidate,observer_disposal,4096,5,1633546.373341,310969.002441
1,candidate,observer_disposal,4096,6,1991885.947064,351993.004395
1,candidate,observer_disposal,4096,7,2264100.825414,392889.002441
1,candidate,observer_disposal,4096,8,2707934.821956,433849.002441
1,candidate,observer_disposal,4096,9,3457814.163994,474809.002441
1,reference,timer_cycle,16384,1,30804.862035,21548.000610
1,reference,timer_cycle,16384,2,30760.013033,21548.000610
1,reference,timer_cycle,16384,3,30832.146876,21548.000610
1,reference,timer_cycle,16384,4,30795.825296,21548.000610
1,reference,timer_cycle,16384,5,30804.687412,21548.000610
1,reference,timer_cycle,16384,6,30832.583434,21548.000610
1,reference,timer_cycle,16384,7,30917.552067,21548.000610
1,reference,timer_cycle,16384,8,30982.482713,21548.000610
1,reference,timer_cycle,16384,9,30890.558264,21548.000610
1,candidate,timer_cycle,65536,1,14748.809917,9614.000153
1,candidate,timer_cycle,65536,2,14806.519175,9630.000168
1,candidate,timer_cycle,65536,3,14793.778973,9614.000153
1,candidate,timer_cycle,65536,4,14756.577002,9614.000153
1,candidate,timer_cycle,65536,5,14770.143025,9614.000153
1,candidate,timer_cycle,65536,6,14850.924345,9646.000168
1,candidate,timer_cycle,65536,7,14694.673155,9614.000153
1,candidate,timer_cycle,65536,8,14796.325559,9614.000153
1,candidate,timer_cycle,65536,9,14710.050891,9614.000153
2,reference,failed_retry.depth_1.position_last,65536,1,10043.029761,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,2,10026.578821,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,3,10108.367860,7717.001221
