pair,side,name,operations,sample,wall_ns,allocated_words
3,candidate,observer_disposal,4096,5,1630002.923775,310969.002441
3,candidate,observer_disposal,4096,6,2001399.931032,351993.004395
3,candidate,observer_disposal,4096,7,2376881.078817,392889.002441
3,candidate,observer_disposal,4096,8,2808042.219840,433849.002441
3,candidate,observer_disposal,4096,9,3382352.297194,474809.002441
3,reference,timer_cycle,16384,1,30919.502024,21548.000610
3,reference,timer_cycle,16384,2,30959.650758,21548.000610
3,reference,timer_cycle,16384,3,30994.619010,21548.000610
3,reference,timer_cycle,16384,4,30953.306123,21548.000610
3,reference,timer_cycle,16384,5,30950.264772,21548.000610
3,reference,timer_cycle,16384,6,30937.197153,21548.000610
3,reference,timer_cycle,16384,7,30941.402656,21548.000610
3,reference,timer_cycle,16384,8,30922.121368,21548.000610
3,reference,timer_cycle,16384,9,30946.233892,21548.000610
3,candidate,timer_cycle,65536,1,14702.221961,9614.000153
3,candidate,timer_cycle,65536,2,14775.589079,9630.000168
3,candidate,timer_cycle,65536,3,14881.894458,9614.000153
3,candidate,timer_cycle,65536,4,14739.944163,9614.000153
3,candidate,timer_cycle,65536,5,14732.515410,9614.000153
3,candidate,timer_cycle,65536,6,14849.731087,9646.000168
3,candidate,timer_cycle,65536,7,14683.166228,9614.000153
3,candidate,timer_cycle,65536,8,14805.817045,9614.000153
3,candidate,timer_cycle,65536,9,14682.584151,9614.000153
