pair,name,graph_size,operations,median_wall_ns,median_allocated_words
3,a.boxed_old.changed.depth_1,2,16777216,33.58268,4.000001
3,a.boxed_old.changed.depth_10,11,8388608,101.068736,4.000001
3,a.boxed_old.changed.depth_100,101,1048576,883.871962,4.00001
3,a.boxed_young.changed.depth_1,2,16777216,28.138516,6.000001
3,a.int.changed.depth_1,2,16777216,28.088039,4.000001
3,a.int.changed.depth_10,11,8388608,92.377064,4.000001
3,a.int.changed.depth_100,101,1048576,844.469014,4.00001
3,b.boxed_old.changed.depth_1,2,16777216,30.137599,4.000001
3,b.boxed_old.changed.depth_10,11,8388608,104.670875,4.000001
3,b.boxed_old.changed.depth_100,101,524288,988.738975,4.000019
3,b.boxed_young.changed.depth_1,2,16777216,29.873846,6.000001
3,b.int.changed.depth_1,2,16777216,28.12277,4.000001
3,b.int.changed.depth_10,11,8388608,97.591169,4.000001
3,b.int.changed.depth_100,101,1048576,903.889713,4.00001
3,c.boxed_old.changed.depth_1,2,16777216,33.315544,4.000001
3,c.boxed_old.changed.depth_10,11,8388608,117.541418,4.000001
3,c.boxed_old.changed.depth_100,101,524288,1056.466772,4.000019
3,c.boxed_young.changed.depth_1,2,16777216,31.243317,6.000001
3,c.int.changed.depth_1,2,16777216,31.705795,4.000001
3,c.int.changed.depth_10,11,8388608,113.20364,4.000001
3,c.int.changed.depth_100,101,524288,1078.325113,4.000019
3,control.boxed_old.old_ref_store,1,16777216,1.388258,1e-06
3,control.boxed_young.construct,0,16777216,1.091067,2.000001
3,control.boxed_young.old_ref_store,1,16777216,2.01517,2.000001
3,control.int.changed.depth_1,2,16777216,20.3284,4.000001
3,control.int.changed.depth_10,11,16777216,44.152074,4.000001
3,control.int.changed.depth_100,101,2097152,450.607331,4.000005
3,incremental.a.raw.boxed_old.changed.depth_1,2,16777216,37.060502,1e-06
3,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,106.964819,1e-06
3,incremental.a.raw.boxed_old.changed.depth_100,101,524288,982.048277,1.9e-05
3,incremental.a.raw.int.changed.depth_1,2,16777216,33.248,1e-06
3,incremental.a.raw.int.changed.depth_10,11,8388608,107.634662,1e-06
3,incremental.a.raw.int.changed.depth_100,101,1048576,992.983814,1e-05
3,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,37.514155,1e-06
3,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,104.795333,1e-06
3,incremental.b.raw.boxed_old.changed.depth_100,101,524288,1005.310423,1.9e-05
3,incremental.b.raw.int.changed.depth_1,2,16777216,32.119985,1e-06
3,incremental.b.raw.int.changed.depth_10,11,8388608,101.452002,1e-06
3,incremental.b.raw.int.changed.depth_100,101,1048576,1027.938879,1e-05
3,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,37.575546,1e-06
3,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,106.45843,1e-06
3,incremental.c.raw.boxed_old.changed.depth_100,101,524288,982.963229,1.9e-05
3,incremental.c.raw.int.changed.depth_1,2,16777216,33.27483,1e-06
3,incremental.c.raw.int.changed.depth_10,11,8388608,105.71182,1e-06
3,incremental.c.raw.int.changed.depth_100,101,1048576,1035.033165,1e-05
