pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,6,37.395836,0.000001
1,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,7,37.115996,0.000001
1,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,8,37.123272,0.000001
1,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,9,37.130420,0.000001
1,b.boxed_old.changed.depth_1,2,16777216,1,29.812753,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,2,29.399089,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,3,29.989366,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,4,30.285662,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,5,30.578136,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,6,30.584104,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,7,30.620342,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,8,30.335187,4.000001
1,b.boxed_old.changed.depth_1,2,16777216,9,30.583564,4.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,1,37.542705,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,2,37.503781,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,3,37.464318,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,4,37.497642,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,5,37.500030,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,6,37.460921,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,7,37.537461,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,8,36.796692,0.000001
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,9,36.960017,0.000001
1,c.boxed_old.changed.depth_1,2,16777216,1,32.298928,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,2,32.329083,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,3,32.321751,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,4,32.233231,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,5,32.239669,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,6,32.385771,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,7,32.398518,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,8,32.343323,4.000001
1,c.boxed_old.changed.depth_1,2,16777216,9,32.251180,4.000001
1,control.int.changed.depth_10,11,16777216,1,43.953008,4.000001
1,control.int.changed.depth_10,11,16777216,2,43.978702,4.000001
1,control.int.changed.depth_10,11,16777216,3,43.989772,4.000001
1,control.int.changed.depth_10,11,16777216,4,43.962842,4.000001
1,control.int.changed.depth_10,11,16777216,5,44.096296,4.000001
1,control.int.changed.depth_10,11,16777216,6,44.150113,4.000001
1,control.int.changed.depth_10,11,16777216,7,44.177000,4.000001
1,control.int.changed.depth_10,11,16777216,8,44.171514,4.000001
1,control.int.changed.depth_10,11,16777216,9,43.853575,4.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,1,96.405245,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,2,95.509307,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,3,95.673926,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,4,95.638740,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,5,95.619555,0.000001
