pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,capsule.raw.keyed.membership.10000,10000,4194304,6,150.237099,269.000002
1,capsule.raw.keyed.membership.10000,10000,4194304,7,147.212006,269.000002
1,capsule.raw.keyed.membership.10000,10000,4194304,8,147.061598,269.000002
1,capsule.raw.keyed.membership.10000,10000,4194304,9,147.510264,269.000002
1,incremental.raw.keyed.membership.100000,100000,1048576,1,533.794491,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,2,532.478452,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,3,535.240133,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,4,534.604851,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,5,532.929334,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,6,533.714456,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,7,534.461833,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,8,534.787205,433.500010
1,incremental.raw.keyed.membership.100000,100000,1048576,9,516.739874,433.500010
1,capsule.raw.keyed.membership.100000,100000,4194304,1,174.692389,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,2,177.347886,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,3,176.161791,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,4,180.715801,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,5,181.178052,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,6,180.425161,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,7,182.581459,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,8,181.377629,323.000002
1,capsule.raw.keyed.membership.100000,100000,4194304,9,180.719155,323.000002
1,incremental.raw.keyed.child.10000,10000,8388608,1,90.039123,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,2,91.014726,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,3,90.650929,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,4,93.589534,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,5,95.628366,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,6,96.750369,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,7,96.063872,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,8,96.896656,78.000001
1,incremental.raw.keyed.child.10000,10000,8388608,9,90.939295,78.000001
1,capsule.raw.keyed.child.10000,10000,8388608,1,67.354335,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,2,70.392616,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,3,65.876833,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,4,70.244567,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,5,67.571165,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,6,67.761647,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,7,68.755014,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,8,65.012216,82.000001
1,capsule.raw.keyed.child.10000,10000,8388608,9,67.587621,82.000001
1,incremental.raw.keyed.child.100000,100000,8388608,1,106.542927,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,2,106.561430,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,3,111.838574,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,4,112.776405,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,5,111.996997,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,6,112.371083,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,7,106.522776,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,8,106.120922,102.000001
1,incremental.raw.keyed.child.100000,100000,8388608,9,104.704867,102.000001
1,capsule.raw.keyed.child.100000,100000,8388608,1,79.443680,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,2,79.509391,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,3,79.214203,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,4,79.418299,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,5,82.230201,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,6,84.865690,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,7,84.892037,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,8,84.346283,106.000001
1,capsule.raw.keyed.child.100000,100000,8388608,9,83.389978,106.000001
2,incremental.raw.dynamic.switch,3,4194304,1,120.859170,43.000002
2,incremental.raw.dynamic.switch,3,4194304,2,122.449421,43.000002
2,incremental.raw.dynamic.switch,3,4194304,3,120.951654,43.000002
2,incremental.raw.dynamic.switch,3,4194304,4,121.511221,43.000002
2,incremental.raw.dynamic.switch,3,4194304,5,122.154688,43.000002
2,incremental.raw.dynamic.switch,3,4194304,6,119.690185,43.000002
2,incremental.raw.dynamic.switch,3,4194304,7,120.606217,43.000002
2,incremental.raw.dynamic.switch,3,4194304,8,121.143557,43.000002
2,incremental.raw.dynamic.switch,3,4194304,9,120.402092,43.000002
2,capsule.raw.dynamic.switch,3,16777216,1,11.081227,12.000001
2,capsule.raw.dynamic.switch,3,16777216,2,11.083898,12.000001
2,capsule.raw.dynamic.switch,3,16777216,3,11.124669,12.000001
2,capsule.raw.dynamic.switch,3,16777216,4,11.269620,12.000001
2,capsule.raw.dynamic.switch,3,16777216,5,11.197685,12.000001
2,capsule.raw.dynamic.switch,3,16777216,6,11.080743,12.000001
2,capsule.raw.dynamic.switch,3,16777216,7,11.074903,12.000001
2,capsule.raw.dynamic.switch,3,16777216,8,11.079663,12.000001
2,capsule.raw.dynamic.switch,3,16777216,9,11.106792,12.000001
2,journal.raw.dynamic.switch,3,16777216,1,6.460070,10.000001
2,journal.raw.dynamic.switch,3,16777216,2,6.458350,10.000001
2,journal.raw.dynamic.switch,3,16777216,3,6.462272,10.000001
2,journal.raw.dynamic.switch,3,16777216,4,6.458990,10.000001
2,journal.raw.dynamic.switch,3,16777216,5,6.479439,10.000001
2,journal.raw.dynamic.switch,3,16777216,6,6.462045,10.000001
2,journal.raw.dynamic.switch,3,16777216,7,6.470799,10.000001
2,journal.raw.dynamic.switch,3,16777216,8,6.471808,10.000001
2,journal.raw.dynamic.switch,3,16777216,9,6.464774,10.000001
2,eta_reference.dynamic_scope_cleanup,3,65536,1,7676.557289,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,2,7705.060852,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,3,7641.236152,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,4,7606.628060,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,5,7617.189112,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,6,7606.962754,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,7,7710.357750,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,8,7534.315955,6429.001160
2,eta_reference.dynamic_scope_cleanup,3,65536,9,7643.662684,6429.001160
2,incremental.raw.keyed.data.10000,10000,2097152,1,256.327212,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,2,256.399176,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,3,255.477971,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,4,259.537273,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,5,263.986067,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,6,254.561883,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,7,262.752565,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,8,263.499260,180.000005
2,incremental.raw.keyed.data.10000,10000,2097152,9,262.161734,180.000005
2,capsule.raw.keyed.data.10000,10000,8388608,1,104.584103,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,2,103.719231,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,3,104.615083,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,4,104.226842,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,5,104.308469,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,6,104.334816,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,7,100.287423,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,8,100.594150,160.000001
2,capsule.raw.keyed.data.10000,10000,8388608,9,100.116722,160.000001
2,incremental.raw.keyed.data.100000,100000,2097152,1,336.243602,228.000005
