pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,2,18.507606,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,3,18.315674,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,4,18.171605,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,5,18.149265,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,6,18.183655,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,7,18.276268,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,8,18.276637,13.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,9,18.135125,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,1,16.467695,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,2,16.491114,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,3,16.486410,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,4,16.468405,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,5,16.474132,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,6,16.465847,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,7,16.932958,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,8,17.237610,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,9,17.236175,13.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,1,14.762165,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,2,15.223208,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,3,15.353379,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,4,14.782600,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,5,14.972869,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,6,15.454290,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,7,14.915940,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,8,14.975186,5.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,9,15.138326,5.000001
2,incremental.raw.changed.depth_1,2,16777216,1,33.199314,0.000001
2,incremental.raw.changed.depth_1,2,16777216,2,33.198305,0.000001
2,incremental.raw.changed.depth_1,2,16777216,3,33.191682,0.000001
2,incremental.raw.changed.depth_1,2,16777216,4,33.193885,0.000001
2,incremental.raw.changed.depth_1,2,16777216,5,33.187391,0.000001
2,incremental.raw.changed.depth_1,2,16777216,6,31.782321,0.000001
2,incremental.raw.changed.depth_1,2,16777216,7,31.448238,0.000001
2,incremental.raw.changed.depth_1,2,16777216,8,31.447883,0.000001
2,incremental.raw.changed.depth_1,2,16777216,9,31.569243,0.000001
2,b.changed.depth_1,2,16777216,1,15.041934,4.000001
2,b.changed.depth_1,2,16777216,2,15.048030,4.000001
2,b.changed.depth_1,2,16777216,3,15.056969,4.000001
2,b.changed.depth_1,2,16777216,4,15.043256,4.000001
2,b.changed.depth_1,2,16777216,5,15.056429,4.000001
2,b.changed.depth_1,2,16777216,6,15.052734,4.000001
2,b.changed.depth_1,2,16777216,7,15.049281,4.000001
2,b.changed.depth_1,2,16777216,8,15.047362,4.000001
2,b.changed.depth_1,2,16777216,9,15.047306,4.000001
2,incremental.raw.changed.depth_10,11,8388608,1,106.078005,0.000001
2,incremental.raw.changed.depth_10,11,8388608,2,106.352331,0.000001
2,incremental.raw.changed.depth_10,11,8388608,3,107.940195,0.000001
2,incremental.raw.changed.depth_10,11,8388608,4,104.927665,0.000001
2,incremental.raw.changed.depth_10,11,8388608,5,104.809772,0.000001
2,incremental.raw.changed.depth_10,11,8388608,6,103.783606,0.000001
2,incremental.raw.changed.depth_10,11,8388608,7,103.835106,0.000001
2,incremental.raw.changed.depth_10,11,8388608,8,104.392058,0.000001
2,incremental.raw.changed.depth_10,11,8388608,9,104.391574,0.000001
2,b.changed.depth_10,11,16777216,1,50.901647,4.000001
2,b.changed.depth_10,11,16777216,2,50.901420,4.000001
2,b.changed.depth_10,11,16777216,3,48.379121,4.000001
