# Effet bench: mainline 5.4.1 vs oxcaml 5.2.0+ox
# CPU: AMD Ryzen 9 9950X 16-Core Processor
# Mainline total: 189700 ms  Oxcaml total: 183351 ms

benchmark                                                        mainline_ns       oxcaml_ns    ratio  verdict   
overhead.direct.loop.100k                                           35238.27        37384.03    1.061  slower    
overhead.effet.bind.100k.build_run                                3623962.40       419998.17    0.116  faster    
overhead.effet.bind.100k.prebuilt                                 1210832.60      1257228.85    1.038  same      
overhead.effet.fail_catch.100k.build_run                          1140785.22      1104545.59    0.968  same      
overhead.effet.fail_catch.100k.prebuilt                           1132726.67      1172399.52    1.035  same      
overhead.effet.pure.reused_rt                                         190.73            0.00    0.000  faster    
overhead.effet.setup_pure                                           41818.62        22649.77    0.542  faster    
overhead.eio.setup                                                  59843.06        46396.26    0.775  faster    
overhead.mini.bind.100k.build_run                                 4138612.75       449371.34    0.109  faster    
overhead.mini.bind.100k.prebuilt                                   590181.35       428628.92    0.726  faster    
overhead.mini.fail_catch.100k.build_run                            290584.56       282621.38    0.973  same      
overhead.mini.fail_catch.100k.prebuilt                             281476.97       358533.86    1.274  slower    
realuse.fanout.bounded.512x50.k=8                                  335454.94       313186.65    0.934  faster    
realuse.fanout.par.success.64x50                                   118970.87        99229.81    0.834  faster    
realuse.pipeline.bind_catch.1k                                      67949.30        35953.52    0.529  faster    
realuse.retry.flaky.fail4_then_ok                                   49638.75        30994.42    0.624  faster    
realuse.scope.acquire_release.64                                    69189.07        47779.08    0.691  faster    

# Summary: 76/98 faster (>5% improvement under oxcaml), 10/98 slower (>5% regression), 12/98 same.
# wall_ns ratio (oxcaml/mainline, oxcaml<1 means oxcaml faster):
#   geomean: 0.673  median: 0.747  min: 0.109  max: 1.750  (n=97 wall_ns benches)
