pair,name,operations,sample,wall_ns,allocated_words
1,raw.cutoff.depth_10,16777216,5,18.471468,4.000001
1,raw.cutoff.depth_10,16777216,6,18.465101,4.000001
1,raw.cutoff.depth_10,16777216,7,18.442989,4.000001
1,raw.cutoff.depth_10,16777216,8,18.451445,4.000001
1,raw.cutoff.depth_10,16777216,9,18.436438,4.000001
1,raw.fan_in.diamond,8388608,1,61.026583,16.000001
1,raw.fan_in.diamond,8388608,2,60.450077,16.000001
1,raw.fan_in.diamond,8388608,3,60.352562,16.000001
1,raw.fan_in.diamond,8388608,4,60.161113,16.000001
1,raw.fan_in.diamond,8388608,5,60.744640,16.000001
1,raw.fan_in.diamond,8388608,6,60.732958,16.000001
1,raw.fan_in.diamond,8388608,7,60.845139,16.000001
1,raw.fan_in.diamond,8388608,8,60.837976,16.000001
1,raw.fan_in.diamond,8388608,9,60.874811,16.000001
2,plan.changed.depth_1,16777216,1,12.780902,9.000001
2,plan.changed.depth_1,16777216,2,12.770059,9.000001
2,plan.changed.depth_1,16777216,3,12.770002,9.000001
2,plan.changed.depth_1,16777216,4,12.867758,9.000001
2,plan.changed.depth_1,16777216,5,12.797059,9.000001
2,plan.changed.depth_1,16777216,6,12.915606,9.000001
2,plan.changed.depth_1,16777216,7,12.831450,9.000001
2,plan.changed.depth_1,16777216,8,12.818163,9.000001
2,plan.changed.depth_1,16777216,9,12.774350,9.000001
2,plan.changed.depth_10,16777216,1,36.599516,18.000001
2,plan.changed.depth_10,16777216,2,36.725467,18.000001
2,plan.changed.depth_10,16777216,3,36.641723,18.000001
2,plan.changed.depth_10,16777216,4,36.572644,18.000001
2,plan.changed.depth_10,16777216,5,36.625025,18.000001
2,plan.changed.depth_10,16777216,6,36.676099,18.000001
2,plan.changed.depth_10,16777216,7,36.978122,18.000001
2,plan.changed.depth_10,16777216,8,36.560124,18.000001
2,plan.changed.depth_10,16777216,9,36.669135,18.000001
2,plan.changed.depth_100,2097152,1,303.566026,108.000005
2,plan.changed.depth_100,2097152,2,303.886395,108.000005
