name,pair,operations,sample,wall_ns,allocated_words
eta_signal.effect_seam.public_sync.depth_10,1,2097152,9,257.877332,204.000018
eta_signal.effect_seam.public_eio.depth_10,1,1048576,1,671.504040,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,2,671.540192,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,3,672.047690,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,4,673.278691,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,5,674.623607,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,6,678.275001,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,7,674.135208,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,8,673.790055,487.000065
eta_signal.effect_seam.public_eio.depth_10,1,1048576,9,678.865490,487.000065
eta_signal.effect_seam.raw.depth_100,1,8388608,1,100.498056,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,2,100.563057,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,3,100.346199,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,4,100.359813,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,5,100.305073,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,6,100.341424,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,7,100.309364,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,8,100.345261,0.000001
eta_signal.effect_seam.raw.depth_100,1,8388608,9,100.201731,0.000001
eta_signal.effect_seam.effect.depth_100,1,8388608,1,103.292820,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,2,103.200449,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,3,103.180071,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,4,103.176944,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,5,103.095402,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,6,103.164439,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,7,103.144060,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,8,103.216763,10.000004
eta_signal.effect_seam.effect.depth_100,1,8388608,9,103.154917,10.000004
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,1,229.962325,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,2,229.949478,106.000009
