name,operations,sample,wall_ns,allocated_words
eta_signal_map.child_change.100000,1,1,1512305021.286011,72998406.000000
eta_signal_map.child_change.100000,1,2,1573112964.630127,72998406.000000
eta_signal_map.child_change.100000,1,3,1490464210.510254,72998406.000000
eta_signal_map.child_change.100000,1,4,1508043050.765991,72998406.000000
eta_signal_map.child_change.100000,1,5,2073907852.172852,72998406.000000
eta_signal_map.child_change.100000,1,6,1722923994.064331,72998406.000000
eta_signal_map.child_change.100000,1,7,1662722110.748291,72998406.000000
eta_signal_map.child_change.100000,1,8,1666934013.366699,72998406.000000
eta_signal_map.child_change.100000,1,9,1574705123.901367,72998406.000000
incr_map.child_change.100000,8388608,1,104.849448,102.000001
incr_map.child_change.100000,8388608,2,106.945635,102.000001
incr_map.child_change.100000,8388608,3,108.384000,102.000001
incr_map.child_change.100000,8388608,4,106.217641,102.000001
incr_map.child_change.100000,8388608,5,110.516083,102.000001
incr_map.child_change.100000,8388608,6,103.840591,102.000001
incr_map.child_change.100000,8388608,7,104.833845,102.000001
incr_map.child_change.100000,8388608,8,107.540956,102.000001
incr_map.child_change.100000,8388608,9,104.390637,102.000001
eta_signal_map.data_change.100000,2,1,310902476.310730,25106642.000000
eta_signal_map.data_change.100000,2,2,292004466.056824,25106642.000000
eta_signal_map.data_change.100000,2,3,308331966.400146,25106642.000000
eta_signal_map.data_change.100000,2,4,275782942.771912,25106642.000000
eta_signal_map.data_change.100000,2,5,307766437.530518,25106642.000000
eta_signal_map.data_change.100000,2,6,286607980.728149,25106642.000000
eta_signal_map.data_change.100000,2,7,291100502.014160,25106642.000000
eta_signal_map.data_change.100000,2,8,311095952.987671,25106642.000000
eta_signal_map.data_change.100000,2,9,327308535.575867,25106642.000000
incr_map.data_change.100000,2097152,1,321.593348,228.000005
incr_map.data_change.100000,2097152,2,310.809583,228.000005
incr_map.data_change.100000,2097152,3,313.092755,228.000005
incr_map.data_change.100000,2097152,4,316.481646,228.000005
incr_map.data_change.100000,2097152,5,316.967885,228.000005
incr_map.data_change.100000,2097152,6,314.914701,228.000005
incr_map.data_change.100000,2097152,7,325.064207,228.000005
incr_map.data_change.100000,2097152,8,331.371780,228.000005
incr_map.data_change.100000,2097152,9,333.241474,228.000005
eta_signal_map.child_change.10000,16,1,61188384.890556,6993791.250000
eta_signal_map.child_change.10000,16,2,62480062.246323,6993791.250000
