name,operations,sample,wall_ns,allocated_words
incr_map.data_change.100000,2097152,1,314.850240,228.000005
incr_map.data_change.100000,2097152,2,316.019964,228.000005
incr_map.data_change.100000,2097152,3,318.080424,228.000005
incr_map.data_change.100000,2097152,4,320.630079,228.000005
incr_map.data_change.100000,2097152,5,319.054607,228.000005
incr_map.data_change.100000,2097152,6,321.060725,228.000005
incr_map.data_change.100000,2097152,7,319.036531,228.000005
incr_map.data_change.100000,2097152,8,318.709908,228.000005
incr_map.data_change.100000,2097152,9,317.428658,228.000005
eta_signal_map.data_change.100000,2,1,379123091.697693,25106642.000000
eta_signal_map.data_change.100000,2,2,360152006.149292,25106642.000000
eta_signal_map.data_change.100000,2,3,379557490.348816,25106642.000000
eta_signal_map.data_change.100000,2,4,311391472.816467,25106642.000000
eta_signal_map.data_change.100000,2,5,303557991.981506,25106642.000000
eta_signal_map.data_change.100000,2,6,312399506.568909,25106642.000000
eta_signal_map.data_change.100000,2,7,284405469.894409,25106642.000000
eta_signal_map.data_change.100000,2,8,300931096.076965,25106642.000000
eta_signal_map.data_change.100000,2,9,300381064.414978,25106642.000000
incr_map.child_change.100000,8388608,1,108.957778,102.000001
incr_map.child_change.100000,8388608,2,106.332436,102.000001
incr_map.child_change.100000,8388608,3,105.670551,102.000001
incr_map.child_change.100000,8388608,4,108.834769,102.000001
incr_map.child_change.100000,8388608,5,108.718865,102.000001
incr_map.child_change.100000,8388608,6,106.322773,102.000001
incr_map.child_change.100000,8388608,7,106.238844,102.000001
incr_map.child_change.100000,8388608,8,107.801924,102.000001
incr_map.child_change.100000,8388608,9,105.950335,102.000001
eta_signal_map.child_change.100000,1,1,1750247001.647949,72998406.000000
eta_signal_map.child_change.100000,1,2,1945965051.651001,72998406.000000
eta_signal_map.child_change.100000,1,3,1801048994.064331,72998406.000000
eta_signal_map.child_change.100000,1,4,1807399988.174438,72998406.000000
eta_signal_map.child_change.100000,1,5,1810801982.879639,72998406.000000
eta_signal_map.child_change.100000,1,6,1756168127.059937,72998406.000000
eta_signal_map.child_change.100000,1,7,1666265964.508057,72998406.000000
eta_signal_map.child_change.100000,1,8,1674104928.970337,72998406.000000
eta_signal_map.child_change.100000,1,9,1566347837.448120,72998406.000000
incremental.changed.depth_100,1048576,1,1032.095952,0.000010
incremental.changed.depth_100,1048576,2,982.783376,0.000010
