name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,54.248403,6.000001
incremental.changed.depth_1,16777216,2,54.328083,6.000001
incremental.changed.depth_1,16777216,3,54.286247,6.000001
incremental.changed.depth_1,16777216,4,54.256134,6.000001
incremental.changed.depth_1,16777216,5,54.233553,6.000001
incremental.changed.depth_1,16777216,6,51.819086,6.000001
incremental.changed.depth_1,16777216,7,50.736730,6.000001
incremental.changed.depth_1,16777216,8,50.791442,6.000001
incremental.changed.depth_1,16777216,9,50.762424,6.000001
eta_signal.changed.depth_1,1048576,1,480.831204,334.000010
eta_signal.changed.depth_1,1048576,2,480.576546,334.000010
eta_signal.changed.depth_1,1048576,3,481.539701,334.000010
eta_signal.changed.depth_1,1048576,4,481.241159,334.000010
eta_signal.changed.depth_1,1048576,5,481.121106,334.000010
eta_signal.changed.depth_1,1048576,6,477.136609,334.000010
eta_signal.changed.depth_1,1048576,7,482.332325,334.000010
eta_signal.changed.depth_1,1048576,8,483.460326,334.000010
eta_signal.changed.depth_1,1048576,9,481.144070,334.000010
incremental.changed.depth_10,4194304,1,127.320050,6.000002
incremental.changed.depth_10,4194304,2,127.571582,6.000002
incremental.changed.depth_10,4194304,3,127.411568,6.000002
incremental.changed.depth_10,4194304,4,127.493138,6.000002
incremental.changed.depth_10,4194304,5,127.397527,6.000002
incremental.changed.depth_10,4194304,6,122.333802,6.000002
incremental.changed.depth_10,4194304,7,117.538718,6.000002
incremental.changed.depth_10,4194304,8,118.942069,6.000002
incremental.changed.depth_10,4194304,9,119.204287,6.000002
eta_signal.changed.depth_10,524288,1,1366.476226,478.000019
eta_signal.changed.depth_10,524288,2,1370.950486,478.000019
eta_signal.changed.depth_10,524288,3,1371.893177,478.000019
eta_signal.changed.depth_10,524288,4,1373.491159,478.000019
eta_signal.changed.depth_10,524288,5,1373.281521,478.000019
eta_signal.changed.depth_10,524288,6,1372.171482,478.000019
eta_signal.changed.depth_10,524288,7,1373.332907,478.000019
eta_signal.changed.depth_10,524288,8,1374.557542,478.000019
eta_signal.changed.depth_10,524288,9,1378.568868,478.000019
incremental.changed.depth_100,524288,1,1075.128694,6.000019
incremental.changed.depth_100,524288,2,1074.323791,6.000019
incremental.changed.depth_100,524288,3,1075.123237,6.000019
incremental.changed.depth_100,524288,4,1074.075499,6.000019
incremental.changed.depth_100,524288,5,1072.343821,6.000019
incremental.changed.depth_100,524288,6,1074.236025,6.000019
incremental.changed.depth_100,524288,7,1074.733973,6.000019
incremental.changed.depth_100,524288,8,1070.459348,6.000019
incremental.changed.depth_100,524288,9,1075.802174,6.000019
eta_signal.changed.depth_100,32768,1,15262.456145,2530.000305
eta_signal.changed.depth_100,32768,2,15113.037080,2530.000305
eta_signal.changed.depth_100,32768,3,15017.336409,2530.000305
eta_signal.changed.depth_100,32768,4,14990.597265,2530.000305
eta_signal.changed.depth_100,32768,5,15012.177755,2530.000305
eta_signal.changed.depth_100,32768,6,15024.990716,2530.000305
eta_signal.changed.depth_100,32768,7,15026.249457,2530.000305
eta_signal.changed.depth_100,32768,8,15030.731447,2530.000305
eta_signal.changed.depth_100,32768,9,15016.143152,2530.000305
incremental.cutoff.depth_10,16777216,1,31.151828,0.000001
incremental.cutoff.depth_10,16777216,2,31.150876,0.000001
incremental.cutoff.depth_10,16777216,3,31.154869,0.000001
incremental.cutoff.depth_10,16777216,4,31.165598,0.000001
incremental.cutoff.depth_10,16777216,5,31.149455,0.000001
incremental.cutoff.depth_10,16777216,6,31.148431,0.000001
incremental.cutoff.depth_10,16777216,7,31.163694,0.000001
