name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,54.023204,6.000001
incremental.changed.depth_1,16777216,2,54.348462,6.000001
incremental.changed.depth_1,16777216,3,54.180788,6.000001
incremental.changed.depth_1,16777216,4,54.186941,6.000001
incremental.changed.depth_1,16777216,5,54.234206,6.000001
incremental.changed.depth_1,16777216,6,54.160651,6.000001
incremental.changed.depth_1,16777216,7,54.208229,6.000001
incremental.changed.depth_1,16777216,8,54.154455,6.000001
incremental.changed.depth_1,16777216,9,54.169178,6.000001
eta_signal.changed.depth_1,1048576,1,477.698450,334.000010
eta_signal.changed.depth_1,1048576,2,477.461981,334.000010
eta_signal.changed.depth_1,1048576,3,475.847173,334.000010
eta_signal.changed.depth_1,1048576,4,484.580141,334.000010
eta_signal.changed.depth_1,1048576,5,483.544454,334.000010
eta_signal.changed.depth_1,1048576,6,484.782277,334.000010
eta_signal.changed.depth_1,1048576,7,485.523287,334.000010
eta_signal.changed.depth_1,1048576,8,485.345936,334.000010
eta_signal.changed.depth_1,1048576,9,485.364808,334.000010
incremental.changed.depth_10,4194304,1,126.265263,6.000002
incremental.changed.depth_10,4194304,2,125.919087,6.000002
incremental.changed.depth_10,4194304,3,125.568420,6.000002
incremental.changed.depth_10,4194304,4,125.559552,6.000002
incremental.changed.depth_10,4194304,5,125.585075,6.000002
incremental.changed.depth_10,4194304,6,125.510951,6.000002
incremental.changed.depth_10,4194304,7,125.610143,6.000002
incremental.changed.depth_10,4194304,8,125.692793,6.000002
incremental.changed.depth_10,4194304,9,125.553356,6.000002
eta_signal.changed.depth_10,524288,1,1343.118583,478.000019
eta_signal.changed.depth_10,524288,2,1351.606443,478.000019
eta_signal.changed.depth_10,524288,3,1352.708750,478.000019
eta_signal.changed.depth_10,524288,4,1356.054327,478.000019
eta_signal.changed.depth_10,524288,5,1354.648703,478.000019
eta_signal.changed.depth_10,524288,6,1356.300345,478.000019
eta_signal.changed.depth_10,524288,7,1359.182534,478.000019
eta_signal.changed.depth_10,524288,8,1355.335371,478.000019
eta_signal.changed.depth_10,524288,9,1349.130798,478.000019
incremental.changed.depth_100,524288,1,1050.905212,6.000019
incremental.changed.depth_100,524288,2,1051.822437,6.000019
incremental.changed.depth_100,524288,3,1051.179879,6.000019
incremental.changed.depth_100,524288,4,1050.584615,6.000019
incremental.changed.depth_100,524288,5,1052.310836,6.000019
incremental.changed.depth_100,524288,6,1054.705081,6.000019
incremental.changed.depth_100,524288,7,1052.043899,6.000019
incremental.changed.depth_100,524288,8,1052.061180,6.000019
incremental.changed.depth_100,524288,9,1052.936568,6.000019
eta_signal.changed.depth_100,65536,1,15284.804249,2530.000153
eta_signal.changed.depth_100,65536,2,15251.513105,2530.000153
eta_signal.changed.depth_100,65536,3,15022.520529,2530.000153
eta_signal.changed.depth_100,65536,4,15003.493900,2530.000153
eta_signal.changed.depth_100,65536,5,15073.092072,2530.000153
eta_signal.changed.depth_100,65536,6,15097.186406,2530.000153
eta_signal.changed.depth_100,65536,7,15084.398910,2530.000153
eta_signal.changed.depth_100,65536,8,15084.777260,2530.000153
eta_signal.changed.depth_100,65536,9,15118.912415,2530.000153
incremental.cutoff.depth_10,16777216,1,32.499429,0.000001
incremental.cutoff.depth_10,16777216,2,32.475228,0.000001
incremental.cutoff.depth_10,16777216,3,32.477203,0.000001
incremental.cutoff.depth_10,16777216,4,32.465280,0.000001
incremental.cutoff.depth_10,16777216,5,30.770295,0.000001
incremental.cutoff.depth_10,16777216,6,30.029710,0.000001
incremental.cutoff.depth_10,16777216,7,30.035565,0.000001
incremental.cutoff.depth_10,16777216,8,30.016537,0.000001
incremental.cutoff.depth_10,16777216,9,30.062381,0.000001
eta_signal.cutoff.depth_10,524288,1,1199.872713,431.000019
eta_signal.cutoff.depth_10,524288,2,1199.384769,431.000019
eta_signal.cutoff.depth_10,524288,3,1197.084202,431.000019
eta_signal.cutoff.depth_10,524288,4,1207.384230,431.000019
eta_signal.cutoff.depth_10,524288,5,1208.585672,431.000019
eta_signal.cutoff.depth_10,524288,6,1204.488854,431.000019
eta_signal.cutoff.depth_10,524288,7,1197.729034,431.000019
eta_signal.cutoff.depth_10,524288,8,1195.926870,431.000019
eta_signal.cutoff.depth_10,524288,9,1205.906301,431.000019
incremental.dynamic.switch,4194304,1,139.938379,49.000002
incremental.dynamic.switch,4194304,2,144.270871,49.000002
incremental.dynamic.switch,4194304,3,141.279486,49.000002
incremental.dynamic.switch,4194304,4,144.651153,49.000002
incremental.dynamic.switch,4194304,5,141.738440,49.000002
incremental.dynamic.switch,4194304,6,142.690396,49.000002
incremental.dynamic.switch,4194304,7,144.205330,49.000002
incremental.dynamic.switch,4194304,8,141.997816,49.000002
incremental.dynamic.switch,4194304,9,144.916271,49.000002
eta_signal.dynamic.switch,524288,1,1448.284365,636.000019
eta_signal.dynamic.switch,524288,2,1535.991942,644.000042
eta_signal.dynamic.switch,524288,3,1474.514193,636.000040
eta_signal.dynamic.switch,524288,4,1454.919584,636.000019
eta_signal.dynamic.switch,524288,5,1517.450073,636.000040
eta_signal.dynamic.switch,524288,6,1578.317551,652.000042
eta_signal.dynamic.switch,524288,7,1515.767963,636.000040
eta_signal.dynamic.switch,524288,8,1542.394330,636.000019
eta_signal.dynamic.switch,524288,9,1538.437118,636.000019
incr_map.data_change.10000,2097152,1,301.198497,186.000005
incr_map.data_change.10000,2097152,2,300.643023,186.000005
incr_map.data_change.10000,2097152,3,311.264557,186.000005
incr_map.data_change.10000,2097152,4,321.653374,186.000005
incr_map.data_change.10000,2097152,5,319.677270,186.000005
incr_map.data_change.10000,2097152,6,309.133497,186.000005
incr_map.data_change.10000,2097152,7,302.892204,186.000005
incr_map.data_change.10000,2097152,8,305.336926,186.000005
incr_map.data_change.10000,2097152,9,302.768740,186.000005
eta_signal_map.data_change.10000,4096,1,188992.184121,746.002441
eta_signal_map.data_change.10000,4096,2,188845.733646,746.002441
eta_signal_map.data_change.10000,4096,3,188689.678907,746.002441
eta_signal_map.data_change.10000,4096,4,188737.583812,746.002441
eta_signal_map.data_change.10000,4096,5,188859.412447,746.002441
eta_signal_map.data_change.10000,4096,6,188637.932297,746.002441
eta_signal_map.data_change.10000,4096,7,188693.869859,746.002441
eta_signal_map.data_change.10000,4096,8,188937.003259,746.002441
eta_signal_map.data_change.10000,4096,9,188917.503692,746.002441
incr_map.data_change.100000,2097152,1,362.786295,234.000005
incr_map.data_change.100000,2097152,2,361.804950,234.000005
incr_map.data_change.100000,2097152,3,362.135324,234.000005
incr_map.data_change.100000,2097152,4,361.964226,234.000005
incr_map.data_change.100000,2097152,5,357.593535,234.000005
incr_map.data_change.100000,2097152,6,352.120423,234.000005
incr_map.data_change.100000,2097152,7,353.640075,234.000005
incr_map.data_change.100000,2097152,8,357.208705,234.000005
incr_map.data_change.100000,2097152,9,356.025225,234.000005
eta_signal_map.data_change.100000,128,1,3964554.518461,838.078125
eta_signal_map.data_change.100000,128,2,3960592.672229,838.078125
eta_signal_map.data_change.100000,128,3,4026358.947158,838.078125
eta_signal_map.data_change.100000,128,4,3933969.885111,838.078125
eta_signal_map.data_change.100000,128,5,3926413.133740,838.078125
eta_signal_map.data_change.100000,128,6,3962118.178606,838.078125
eta_signal_map.data_change.100000,128,7,4057805.985212,838.078125
eta_signal_map.data_change.100000,128,8,3932874.649763,838.078125
eta_signal_map.data_change.100000,128,9,3961296.752095,838.078125
incr_map.membership_change.10000,1048576,1,480.900781,349.500010
incr_map.membership_change.10000,1048576,2,488.795195,349.500010
incr_map.membership_change.10000,1048576,3,484.552402,349.500010
incr_map.membership_change.10000,1048576,4,481.913503,349.500010
incr_map.membership_change.10000,1048576,5,487.877969,349.500010
incr_map.membership_change.10000,1048576,6,484.183147,349.500010
incr_map.membership_change.10000,1048576,7,477.546791,349.500010
incr_map.membership_change.10000,1048576,8,477.076583,349.500010
incr_map.membership_change.10000,1048576,9,477.038384,349.500010
eta_signal_map.membership_change.10000,4096,1,188968.784641,1001.002441
eta_signal_map.membership_change.10000,4096,2,188753.416296,1005.002686
eta_signal_map.membership_change.10000,4096,3,188815.174624,1001.002441
eta_signal_map.membership_change.10000,4096,4,188796.664588,1001.002441
eta_signal_map.membership_change.10000,4096,5,188715.814147,1001.002441
eta_signal_map.membership_change.10000,4096,6,189064.710867,1009.002686
eta_signal_map.membership_change.10000,4096,7,189263.431821,1001.002441
eta_signal_map.membership_change.10000,4096,8,188996.607903,1001.002441
eta_signal_map.membership_change.10000,4096,9,189013.895579,1001.002441
incr_map.membership_change.100000,1048576,1,594.341373,439.500010
incr_map.membership_change.100000,1048576,2,596.792006,439.500010
incr_map.membership_change.100000,1048576,3,603.249418,439.500010
incr_map.membership_change.100000,1048576,4,601.295596,439.500010
incr_map.membership_change.100000,1048576,5,579.795824,439.500010
incr_map.membership_change.100000,1048576,6,576.665798,439.500010
incr_map.membership_change.100000,1048576,7,581.247377,439.500010
incr_map.membership_change.100000,1048576,8,595.802248,439.500010
incr_map.membership_change.100000,1048576,9,596.641485,439.500010
eta_signal_map.membership_change.100000,128,1,3998484.462500,1134.078125
eta_signal_map.membership_change.100000,128,2,3931703.045964,1138.085938
eta_signal_map.membership_change.100000,128,3,3915850.073099,1134.078125
eta_signal_map.membership_change.100000,128,4,4307305.440307,1134.078125
eta_signal_map.membership_change.100000,128,5,4153937.101364,1134.078125
eta_signal_map.membership_change.100000,128,6,4020618.274808,1142.085938
eta_signal_map.membership_change.100000,128,7,3984225.913882,1134.078125
eta_signal_map.membership_change.100000,128,8,4102867.096663,1134.078125
eta_signal_map.membership_change.100000,128,9,3955882.042646,1134.078125
incr_map.child_change.10000,8388608,1,111.511923,84.000001
incr_map.child_change.10000,8388608,2,108.724464,84.000001
incr_map.child_change.10000,8388608,3,110.924105,84.000001
incr_map.child_change.10000,8388608,4,109.826431,84.000001
incr_map.child_change.10000,8388608,5,109.328283,84.000001
incr_map.child_change.10000,8388608,6,118.476521,84.000001
incr_map.child_change.10000,8388608,7,119.945184,84.000001
incr_map.child_change.10000,8388608,8,119.007353,84.000001
incr_map.child_change.10000,8388608,9,119.686604,84.000001
eta_signal_map.child_change.10000,1024,1,822128.960863,440.009766
eta_signal_map.child_change.10000,1024,2,833696.452901,440.009766
eta_signal_map.child_change.10000,1024,3,821926.863864,440.009766
eta_signal_map.child_change.10000,1024,4,830854.522064,440.009766
eta_signal_map.child_change.10000,1024,5,828461.023048,440.009766
eta_signal_map.child_change.10000,1024,6,831311.568618,440.009766
eta_signal_map.child_change.10000,1024,7,821741.996333,440.009766
eta_signal_map.child_change.10000,1024,8,828972.784802,440.009766
eta_signal_map.child_change.10000,1024,9,831558.601931,440.009766
incr_map.child_change.100000,4194304,1,125.217923,108.000002
incr_map.child_change.100000,4194304,2,125.195015,108.000002
incr_map.child_change.100000,4194304,3,126.155157,108.000002
incr_map.child_change.100000,4194304,4,128.097042,108.000002
incr_map.child_change.100000,4194304,5,128.164572,108.000002
