name,operations,sample,wall_ns,allocated_words
incr_map.data_change.10000,2097152,5,303.788624,186.000005
incr_map.data_change.10000,2097152,6,303.695174,186.000005
incr_map.data_change.10000,2097152,7,298.467171,186.000005
incr_map.data_change.10000,2097152,8,298.515374,186.000005
incr_map.data_change.10000,2097152,9,297.873498,186.000005
eta_signal_map.data_change.10000,4096,1,188631.820492,746.002441
eta_signal_map.data_change.10000,4096,2,188585.254364,746.002441
eta_signal_map.data_change.10000,4096,3,188669.480849,746.002441
eta_signal_map.data_change.10000,4096,4,188581.063412,746.002441
eta_signal_map.data_change.10000,4096,5,188645.033631,746.002441
eta_signal_map.data_change.10000,4096,6,188898.935448,746.002441
eta_signal_map.data_change.10000,4096,7,188621.052075,746.002441
eta_signal_map.data_change.10000,4096,8,188841.775525,746.002441
eta_signal_map.data_change.10000,4096,9,189053.243957,746.002441
incr_map.data_change.100000,2097152,1,377.253514,234.000005
incr_map.data_change.100000,2097152,2,380.290544,234.000005
incr_map.data_change.100000,2097152,3,364.135303,234.000005
incr_map.data_change.100000,2097152,4,358.395141,234.000005
incr_map.data_change.100000,2097152,5,356.008059,234.000005
incr_map.data_change.100000,2097152,6,355.020006,234.000005
incr_map.data_change.100000,2097152,7,355.708153,234.000005
incr_map.data_change.100000,2097152,8,357.135264,234.000005
incr_map.data_change.100000,2097152,9,357.674139,234.000005
eta_signal_map.data_change.100000,128,1,3997093.066573,838.078125
eta_signal_map.data_change.100000,128,2,3979280.591011,838.078125
eta_signal_map.data_change.100000,128,3,4063976.928592,838.078125
eta_signal_map.data_change.100000,128,4,3976890.817285,838.078125
eta_signal_map.data_change.100000,128,5,3961343.318224,838.078125
eta_signal_map.data_change.100000,128,6,3966476.768255,838.078125
eta_signal_map.data_change.100000,128,7,4053734.242916,838.078125
eta_signal_map.data_change.100000,128,8,3979070.112109,838.078125
eta_signal_map.data_change.100000,128,9,3985429.182649,838.078125
incr_map.membership_change.10000,1048576,1,487.443913,349.500010
incr_map.membership_change.10000,1048576,2,493.415882,349.500010
incr_map.membership_change.10000,1048576,3,490.530056,349.500010
incr_map.membership_change.10000,1048576,4,487.451643,349.500010
incr_map.membership_change.10000,1048576,5,494.095730,349.500010
incr_map.membership_change.10000,1048576,6,493.979542,349.500010
incr_map.membership_change.10000,1048576,7,495.271706,349.500010
