pair,name,operations,sample,wall_ns,allocated_words
3,incremental.raw.changed.depth_1,16777216,5,32.529229,0.000001
3,incremental.raw.changed.depth_1,16777216,6,32.527268,0.000001
3,incremental.raw.changed.depth_1,16777216,7,32.573467,0.000001
3,incremental.raw.changed.depth_1,16777216,8,32.550631,0.000001
3,incremental.raw.changed.depth_1,16777216,9,32.533890,0.000001
3,r2.changed.depth_1,16777216,1,33.931201,4.000001
3,r2.changed.depth_1,16777216,2,33.924408,4.000001
3,r2.changed.depth_1,16777216,3,33.885840,4.000001
3,r2.changed.depth_1,16777216,4,33.892633,4.000001
3,r2.changed.depth_1,16777216,5,33.904129,4.000001
3,r2.changed.depth_1,16777216,6,33.932565,4.000001
3,r2.changed.depth_1,16777216,7,33.888099,4.000001
3,r2.changed.depth_1,16777216,8,33.884476,4.000001
3,r2.changed.depth_1,16777216,9,33.928572,4.000001
3,incremental.raw.changed.depth_10,8388608,1,104.644442,0.000001
3,incremental.raw.changed.depth_10,8388608,2,96.130350,0.000001
3,incremental.raw.changed.depth_10,8388608,3,98.806140,0.000001
3,incremental.raw.changed.depth_10,8388608,4,98.975164,0.000001
3,incremental.raw.changed.depth_10,8388608,5,101.179239,0.000001
3,incremental.raw.changed.depth_10,8388608,6,102.558829,0.000001
3,incremental.raw.changed.depth_10,8388608,7,102.580429,0.000001
3,incremental.raw.changed.depth_10,8388608,8,102.518925,0.000001
3,incremental.raw.changed.depth_10,8388608,9,101.833450,0.000001
3,r2.changed.depth_10,4194304,1,125.265558,4.000002
3,r2.changed.depth_10,4194304,2,125.540510,4.000002
3,r2.changed.depth_10,4194304,3,126.123211,4.000002
3,r2.changed.depth_10,4194304,4,126.580460,4.000002
3,r2.changed.depth_10,4194304,5,128.139504,4.000002
3,r2.changed.depth_10,4194304,6,130.433534,4.000002
3,r2.changed.depth_10,4194304,7,130.418528,4.000002
3,r2.changed.depth_10,4194304,8,130.496005,4.000002
3,r2.changed.depth_10,4194304,9,130.426884,4.000002
3,incremental.raw.changed.depth_100,524288,1,1010.812866,0.000019
3,incremental.raw.changed.depth_100,524288,2,1009.981133,0.000019
3,incremental.raw.changed.depth_100,524288,3,1011.610038,0.000019
3,incremental.raw.changed.depth_100,524288,4,1010.738288,0.000019
3,incremental.raw.changed.depth_100,524288,5,1010.568667,0.000019
3,incremental.raw.changed.depth_100,524288,6,1010.456344,0.000019
3,incremental.raw.changed.depth_100,524288,7,1012.109806,0.000019
3,incremental.raw.changed.depth_100,524288,8,1011.777840,0.000019
3,incremental.raw.changed.depth_100,524288,9,1011.104359,0.000019
3,r2.changed.depth_100,524288,1,1026.935934,4.000019
3,r2.changed.depth_100,524288,2,1028.444331,4.000019
3,r2.changed.depth_100,524288,3,1027.784492,4.000019
3,r2.changed.depth_100,524288,4,1030.071417,4.000019
3,r2.changed.depth_100,524288,5,1029.704890,4.000019
3,r2.changed.depth_100,524288,6,1031.227384,4.000019
3,r2.changed.depth_100,524288,7,1029.216492,4.000019
3,r2.changed.depth_100,524288,8,1028.884981,4.000019
3,r2.changed.depth_100,524288,9,1029.190116,4.000019
3,incremental.raw.cutoff.depth_10,16777216,1,31.351149,0.000001
3,incremental.raw.cutoff.depth_10,16777216,2,31.372309,0.000001
3,incremental.raw.cutoff.depth_10,16777216,3,30.685726,0.000001
3,incremental.raw.cutoff.depth_10,16777216,4,29.758567,0.000001
3,incremental.raw.cutoff.depth_10,16777216,5,29.796183,0.000001
3,incremental.raw.cutoff.depth_10,16777216,6,29.788964,0.000001
3,incremental.raw.cutoff.depth_10,16777216,7,29.766269,0.000001
3,incremental.raw.cutoff.depth_10,16777216,8,29.857446,0.000001
