attack_id,second,rss_kb,live_words,minor_words_delta,major_words_delta,user_cpu_seconds_delta,system_cpu_seconds_delta,fd_count,fiber_count,stream_active,stream_cancelled,stream_live,frames_seen,dropped_frames,disconnected,error_class
goaway_mid_flight,12,38624,149208,2097150,102529,0.007551,0.004891,4,0,0,0,0,13,12,true,connection_closed
goaway_mid_flight,13,38624,149208,2097150,102529,0.007808,0.004891,4,0,0,0,0,14,13,true,connection_closed
goaway_mid_flight,14,38624,149208,2097150,102529,0.008174,0.004891,4,0,0,0,0,15,14,true,connection_closed
goaway_mid_flight,15,38624,149208,2097150,102529,0.008385,0.004891,4,0,0,0,0,16,15,true,connection_closed
goaway_mid_flight,16,38624,149208,2097150,102529,0.008574,0.004891,4,0,0,0,0,17,16,true,connection_closed
goaway_mid_flight,17,38624,149208,2097150,102529,0.008851,0.004891,4,0,0,0,0,18,17,true,connection_closed
goaway_mid_flight,18,38624,149208,2097150,102529,0.009003,0.005000,4,0,0,0,0,19,18,true,connection_closed
goaway_mid_flight,19,38624,149208,2097150,102529,0.009003,0.005212,4,0,0,0,0,20,19,true,connection_closed
goaway_mid_flight,20,38624,149208,2097150,102529,0.009003,0.005466,4,0,0,0,0,21,20,true,connection_closed
goaway_mid_flight,21,38624,149208,2097150,102529,0.009003,0.005806,4,0,0,0,0,22,21,true,connection_closed
goaway_mid_flight,22,38624,149208,2097150,102529,0.009003,0.006084,4,0,0,0,0,23,22,true,connection_closed
goaway_mid_flight,23,38624,149208,2097150,102529,0.009003,0.006475,4,0,0,0,0,24,23,true,connection_closed
goaway_mid_flight,24,38624,149208,2097150,102529,0.009003,0.006763,4,0,0,0,0,25,24,true,connection_closed
goaway_mid_flight,25,38624,149208,2097150,102529,0.009003,0.007028,4,0,0,0,0,26,25,true,connection_closed
goaway_mid_flight,26,38624,149208,2097150,102529,0.009003,0.007293,4,0,0,0,0,27,26,true,connection_closed
goaway_mid_flight,27,38624,149208,2097150,102529,0.009003,0.007470,4,0,0,0,0,28,27,true,connection_closed
goaway_mid_flight,28,38624,149208,2097150,102529,0.009003,0.007739,4,0,0,0,0,29,28,true,connection_closed
goaway_mid_flight,29,38624,149208,2097150,102529,0.009003,0.007975,4,0,0,0,0,30,29,true,connection_closed
goaway_mid_flight,30,38624,149208,2097150,102529,0.009003,0.008257,4,0,0,0,0,31,30,true,connection_closed
header_churn,0,38560,149208,2097150,102529,0.004608,0.004338,4,0,0,0,0,128,96,true,decode_error
header_churn,1,38624,149208,2097150,102529,0.004782,0.004428,4,0,0,0,0,256,224,true,decode_error
header_churn,2,38624,149208,2097150,102529,0.004949,0.004514,4,0,0,0,0,384,352,true,decode_error
header_churn,3,38624,149208,2097150,102529,0.005073,0.004577,4,0,0,0,0,512,480,true,decode_error
header_churn,4,38624,149208,2097150,102529,0.005239,0.004663,4,0,0,0,0,640,608,true,decode_error
header_churn,5,38624,149208,2097150,102529,0.005434,0.004763,4,0,0,0,0,768,736,true,decode_error
header_churn,6,38624,149208,2097150,102529,0.005653,0.004875,4,0,0,0,0,896,864,true,decode_error
header_churn,7,38624,149208,2097150,102529,0.006099,0.004891,4,0,0,0,0,1024,992,true,decode_error
header_churn,8,38624,149208,2097150,102529,0.006444,0.004891,4,0,0,0,0,1152,1120,true,decode_error
header_churn,9,38624,149208,2097150,102529,0.006635,0.004891,4,0,0,0,0,1280,1248,true,decode_error
header_churn,10,38624,149208,2097150,102529,0.007005,0.004891,4,0,0,0,0,1408,1376,true,decode_error
header_churn,11,38624,149208,2097150,102529,0.007289,0.004891,4,0,0,0,0,1536,1504,true,decode_error
header_churn,12,38624,149208,2097150,102529,0.007562,0.004891,4,0,0,0,0,1664,1632,true,decode_error
header_churn,13,38624,149208,2097150,102529,0.007823,0.004891,4,0,0,0,0,1792,1760,true,decode_error
header_churn,14,38624,149208,2097150,102529,0.008186,0.004891,4,0,0,0,0,1920,1888,true,decode_error
header_churn,15,38624,149208,2097150,102529,0.008395,0.004891,4,0,0,0,0,2048,2016,true,decode_error
header_churn,16,38624,149208,2097150,102529,0.008586,0.004891,4,0,0,0,0,2176,2144,true,decode_error
header_churn,17,38624,149208,2097150,102529,0.008875,0.004891,4,0,0,0,0,2304,2272,true,decode_error
header_churn,18,38624,149208,2097150,102529,0.009003,0.005010,4,0,0,0,0,2432,2400,true,decode_error
header_churn,19,38624,149208,2097150,102529,0.009003,0.005223,4,0,0,0,0,2560,2528,true,decode_error
header_churn,20,38624,149208,2097150,102529,0.009003,0.005479,4,0,0,0,0,2688,2656,true,decode_error
header_churn,21,38624,149208,2097150,102529,0.009003,0.005821,4,0,0,0,0,2816,2784,true,decode_error
header_churn,22,38624,149208,2097150,102529,0.009003,0.006106,4,0,0,0,0,2944,2912,true,decode_error
header_churn,23,38624,149208,2097150,102529,0.009003,0.006487,4,0,0,0,0,3072,3040,true,decode_error
header_churn,24,38624,149208,2097150,102529,0.009003,0.006788,4,0,0,0,0,3200,3168,true,decode_error
header_churn,25,38624,149208,2097150,102529,0.009003,0.007038,4,0,0,0,0,3328,3296,true,decode_error
header_churn,26,38624,149208,2097150,102529,0.009003,0.007305,4,0,0,0,0,3456,3424,true,decode_error
header_churn,27,38624,149208,2097150,102529,0.009003,0.007480,4,0,0,0,0,3584,3552,true,decode_error
header_churn,28,38624,149208,2097150,102529,0.009003,0.007757,4,0,0,0,0,3712,3680,true,decode_error
header_churn,29,38624,149208,2097150,102529,0.009003,0.007985,4,0,0,0,0,3840,3808,true,decode_error
header_churn,30,38624,149208,2097150,102529,0.009003,0.008304,4,0,0,0,0,3968,3936,true,decode_error
stream_id_jumps,0,38560,149208,2097150,102529,0.004614,0.004341,4,0,0,0,0,10000,10000,true,stream_admission_rejected
stream_id_jumps,1,38624,149208,2097150,102529,0.004789,0.004432,4,0,0,0,0,10512,10512,true,stream_admission_rejected
stream_id_jumps,2,38624,149208,2097150,102529,0.004956,0.004517,4,0,0,0,0,11024,11024,true,stream_admission_rejected
stream_id_jumps,3,38624,149208,2097150,102529,0.005078,0.004580,4,0,0,0,0,11536,11536,true,stream_admission_rejected
stream_id_jumps,4,38624,149208,2097150,102529,0.005246,0.004666,4,0,0,0,0,12048,12048,true,stream_admission_rejected
stream_id_jumps,5,38624,149208,2097150,102529,0.005440,0.004766,4,0,0,0,0,12560,12560,true,stream_admission_rejected
stream_id_jumps,6,38624,149208,2097150,102529,0.005661,0.004879,4,0,0,0,0,13072,13072,true,stream_admission_rejected
stream_id_jumps,7,38624,149208,2097150,102529,0.006111,0.004891,4,0,0,0,0,13584,13584,true,stream_admission_rejected
stream_id_jumps,8,38624,149208,2097150,102529,0.006453,0.004891,4,0,0,0,0,14096,14096,true,stream_admission_rejected
stream_id_jumps,9,38624,149208,2097150,102529,0.006642,0.004891,4,0,0,0,0,14608,14608,true,stream_admission_rejected
stream_id_jumps,10,38624,149208,2097150,102529,0.007017,0.004891,4,0,0,0,0,15120,15120,true,stream_admission_rejected
stream_id_jumps,11,38624,149208,2097150,102529,0.007299,0.004891,4,0,0,0,0,15632,15632,true,stream_admission_rejected
stream_id_jumps,12,38624,149208,2097150,102529,0.007572,0.004891,4,0,0,0,0,16144,16144,true,stream_admission_rejected
