name,operations,sample,wall_ns,allocated_words
eta_crux.cutoff.depth_10,32768,1,124399.106426,3763.000305
eta_crux.cutoff.depth_10,32768,2,28382.841265,3763.000305
eta_crux.cutoff.depth_10,32768,3,59934.202000,3763.000305
eta_crux.cutoff.depth_10,32768,4,16462.618078,3763.000305
eta_crux.cutoff.depth_10,32768,5,72528.593591,3763.000305
eta_crux.cutoff.depth_10,32768,6,16007.536033,3763.000305
eta_crux.cutoff.depth_10,32768,7,27621.033951,3763.000305
eta_crux.cutoff.depth_10,32768,8,48229.274398,3763.000305
eta_crux.cutoff.depth_10,32768,9,34837.437852,3763.000305
incremental.cutoff.depth_10,16777216,1,33.583035,0.000001
incremental.cutoff.depth_10,16777216,2,33.679783,0.000001
incremental.cutoff.depth_10,16777216,3,33.698925,0.000001
incremental.cutoff.depth_10,16777216,4,32.561417,0.000001
incremental.cutoff.depth_10,16777216,5,32.580374,0.000001
incremental.cutoff.depth_10,16777216,6,32.646241,0.000001
incremental.cutoff.depth_10,16777216,7,32.491087,0.000001
incremental.cutoff.depth_10,16777216,8,32.297308,0.000001
incremental.cutoff.depth_10,16777216,9,32.202905,0.000001
eta_crux.changed.depth_100,16384,1,43623.120291,7425.000610
eta_crux.changed.depth_100,16384,2,40371.771320,7425.000610
eta_crux.changed.depth_100,16384,3,67372.864578,7425.000610
eta_crux.changed.depth_100,16384,4,29832.997825,7425.000610
eta_crux.changed.depth_100,16384,5,80875.965068,7425.000610
eta_crux.changed.depth_100,16384,6,26296.576834,7425.000610
eta_crux.changed.depth_100,16384,7,43194.202590,7425.000610
eta_crux.changed.depth_100,16384,8,66101.507400,7425.000610
eta_crux.changed.depth_100,16384,9,35358.578316,7425.000610
incremental.changed.depth_100,524288,1,1054.956556,0.000019
incremental.changed.depth_100,524288,2,1088.293175,0.000019
incremental.changed.depth_100,524288,3,1092.834282,0.000019
incremental.changed.depth_100,524288,4,1082.504241,0.000019
incremental.changed.depth_100,524288,5,1089.206762,0.000019
incremental.changed.depth_100,524288,6,1090.400929,0.000019
incremental.changed.depth_100,524288,7,1090.286332,0.000019
incremental.changed.depth_100,524288,8,1098.535449,0.000019
incremental.changed.depth_100,524288,9,1096.433607,0.000019
eta_crux.changed.depth_10,32768,1,30365.968996,4005.000305
eta_crux.changed.depth_10,32768,2,27621.339541,4005.000305
eta_crux.changed.depth_10,32768,3,58876.306866,4005.000305
eta_crux.changed.depth_10,32768,4,16407.866497,4005.000305
eta_crux.changed.depth_10,32768,5,80246.638390,4005.000305
eta_crux.changed.depth_10,32768,6,21395.113436,4005.000305
eta_crux.changed.depth_10,32768,7,29581.024137,4005.000305
eta_crux.changed.depth_10,32768,8,46241.060772,4005.000305
eta_crux.changed.depth_10,32768,9,36746.307160,4005.000305
incremental.changed.depth_10,8388608,1,108.634708,0.000001
incremental.changed.depth_10,8388608,2,109.712374,0.000001
incremental.changed.depth_10,8388608,3,108.877657,0.000001
incremental.changed.depth_10,8388608,4,104.432331,0.000001
incremental.changed.depth_10,8388608,5,102.782110,0.000001
incremental.changed.depth_10,8388608,6,103.113649,0.000001
incremental.changed.depth_10,8388608,7,105.321988,0.000001
incremental.changed.depth_10,8388608,8,108.532646,0.000001
incremental.changed.depth_10,8388608,9,100.804328,0.000001
eta_crux.changed.depth_1,16384,1,28075.373848,3663.000610
eta_crux.changed.depth_1,16384,2,29659.000575,3663.000610
eta_crux.changed.depth_1,16384,3,60230.653617,3663.000610
eta_crux.changed.depth_1,16384,4,15297.002392,3663.000610
eta_crux.changed.depth_1,16384,5,65207.525040,3663.000610
eta_crux.changed.depth_1,16384,6,18646.125682,3663.000610
eta_crux.changed.depth_1,16384,7,24975.219276,3663.000610
eta_crux.changed.depth_1,16384,8,41082.821554,3663.000610
eta_crux.changed.depth_1,16384,9,38635.553210,3663.000610
incremental.changed.depth_1,16777216,1,34.810427,0.000001
incremental.changed.depth_1,16777216,2,33.793626,0.000001
incremental.changed.depth_1,16777216,3,33.866044,0.000001
incremental.changed.depth_1,16777216,4,34.128021,0.000001
incremental.changed.depth_1,16777216,5,34.128249,0.000001
incremental.changed.depth_1,16777216,6,33.445474,0.000001
incremental.changed.depth_1,16777216,7,33.637704,0.000001
incremental.changed.depth_1,16777216,8,33.612551,0.000001
incremental.changed.depth_1,16777216,9,33.719829,0.000001
incremental.dynamic.switch,4194304,1,121.172434,43.000002
incremental.dynamic.switch,4194304,2,122.438223,43.000002
incremental.dynamic.switch,4194304,3,121.757012,43.000002
incremental.dynamic.switch,4194304,4,123.644838,43.000002
incremental.dynamic.switch,4194304,5,124.450423,43.000002
incremental.dynamic.switch,4194304,6,121.077051,43.000002
incremental.dynamic.switch,4194304,7,124.663131,43.000002
incremental.dynamic.switch,4194304,8,123.201858,43.000002
incremental.dynamic.switch,4194304,9,120.601442,43.000002
eta_crux.dynamic.switch,32768,1,28528.105759,3981.000305
eta_crux.dynamic.switch,32768,2,28367.670893,3981.000305
eta_crux.dynamic.switch,32768,3,62960.541982,3981.000305
eta_crux.dynamic.switch,32768,4,16318.088456,3981.000305
eta_crux.dynamic.switch,32768,5,72244.292824,3981.000305
eta_crux.dynamic.switch,32768,6,15131.350665,3981.000305
eta_crux.dynamic.switch,32768,7,28705.413570,3981.000305
eta_crux.dynamic.switch,32768,8,46645.320253,3981.000305
eta_crux.dynamic.switch,32768,9,33505.340980,3981.000305
